Usuario| Autor| Título| Autoconclusivo/Bilogía/Trilogía/Saga| Genero| Formato(electrónico o físico)|Estado de lectura (leido/pendiente)|Prestado(Si/No)|
CatCrio|AG Howard|Splintered|Trilogía Splintered (1)|Fantasía - Juvenil Romántica|Libro de Papel|Finalizado|No|
CatCrio|AG Howard|Unhinged|Trilogía Splintered (2)|Fantasía - Juvenil Romántica	Libro de Papel|Finalizado|No|
CatCrio|AG Howard|Ensnared|Trilogía Splintered (3)|Fantasía - Juvenil Romántica	Libro de Papel|Finalizado|No|
CatCrio|AG Howard|Untamed|Trilogía Splintered (3.5)|Fantasía - Juvenil Romántica|Libro de Papel	Finalizado|No|
CatCrio|Antoine de Saint-Exupéry|El principito|Autonclusivo|Literatura infantil - Fábula - Novela corta - Ficción especulativa|Libro de Papel|Finalizado|No|
CatCrio|Benjamin Alire Sáenz|Aristóteles y Dante descubren los secretos del universo|Bilogía Aristóteles y Dante (2)|Ficción - Narrativa - Novela|Libro electrónico|Finalizado|No|
CatCrio|Benjamin Alire Sáenz|Aristóteles y Dante se sumergen en las aguas del mundo|Bilogía Aristóteles y Dante (1)|Ficción - Narrativa - Novela|Libro de Papel	Finalizado|No|
CatCrio|Brandon Sanderson|El imperio final|Trilogía Nacidos de la Bruma (1)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Brandon Sanderson|El pozo de la ascensión|Trilogía Nacidos de la Bruma (2)|Fantasía|Libro electrónico|Finalizado|No|
CatCrio|Brandon Sanderson|El héroe de las eras|Trilogía Nacidos de la Bruma (3)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Brandon Sanderson|El camino de los reyes|Saga El Archivo de las Tormentas (1)|Fantasía épica|Libro de Papel|Finalizado|No|
CatCrio|Brandon Sanderson|Palabras radiantes|Saga El Archivo de las Tormentas (2)|Fantasía épica|Libro de Papel|Finalizado|No|
CatCrio|Brandon Sanderson|Danzante el filo|Saga El Archivo de las Tormentas (2.5)|Fantasía épica|Libro de Papel|Finalizado|No|
CatCrio|Brandon Sanderson|Juramentada|Saga El Archivo de las Tormentas (3)|Fantasía épica|Libro de Papel|Finalizado|No|
CatCrio|Brandon Sanderson|Esquirla del amanecer|Saga El Archivo de las Tormentas (3.5)|Fantasía épica|Libro de Papel|No|
CatCrio|Brandon Sanderson|El ritmo de la guerra|Saga El Archivo de las Tormentas (4)|Fantasía épica|Libro de Papel|finalizado|No|CatCrio|Carolina Andújar|Vampyr|Saga Carmina Nocturna (1)|Misterio- Ficción gótica- Ficción humorística- Romance paranormal|Libro de Papel|Finalizado|No|
CatCrio|Cassandra Clare - Holly Black|La prueba de hierro|Saga Magisterium (1)|Ficción de aventuras|Libro de Papel|Finalizado|Si|
CatCrio|Cassandra Clare - Holly Black|El guante de cobre|Saga Magisterium (2)|Ficción de aventuras|Libro de Papel|Finalizado|Si|
CatCrio|Cassandra Clare - Holly Black|La llave de bronce|Saga Magisterium (3)|Ficción de aventuras|Libro de Papel|Finalizado|No|
CatCrio|Cassandra Clare - Holly Black|La máscara de plata|Saga Magisterium (4)|Ficción de aventuras|Libro electrónico|Finalizado|No|
CatCrio|Cassandra Clare - Holly Black|La torre de oro|Saga Magisterium (5)|Ficción de aventuras|Libro electrónico|Finalizado|No|
CatCrio|Christopher Paolini|Eragon|Saga The Inheritance Cycle (1)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Christopher Paolini|Eldest|Saga The Inheritance Cycle (2)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Christopher Paolini|Brisingr|Saga The Inheritance Cycle (3)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Christopher Paolini|Legado|Saga The Inheritance Cycle (4)|Fantasía|Libro de Papel|finalizado|No|CatCrio|Claudia Ramírez|El principe del sol|Trilogía El principe del sol (1)|Fantasía|Libro electrónico|Finalizado|No|
CatCrio|Claudia Ramírez|La ladrona de la luna|Trilogía El principe del sol (2)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Cornelia Funke|Corazón de tinta|Trilogia Mundos de tinta (1)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Cornelia Funke|Inkdeath|Trilogia Mundos de tinta (3)|Fantasía	Libro de Papel|Pendiente|No|
CatCrio|Cornelia Funke|The Thief Lord|Autonclusivo|Literatura infantil - Novela - Literatura fantástica|Libro de Papel|Finalizado|No|
CatCrio|CS Lewis|El sobrino del mago|Saga Las crónicas de Narnia (1)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|CS Lewis|El león la bruja y el armario|Saga Las crónicas de Narnia (2)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|CS Lewis|El caballo y su niño|Saga Las crónicas de Narnia (3)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|CS Lewis|El príncipe Caspian|Saga Las crónicas de Narnia (4)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|CS Lewis|La travesía del Viajero del Alba|Saga Las crónicas de Narnia (5)|Fantasía|Libro de Papel|No|
CatCrio|CS Lewis|La silla de plata|Saga Las crónicas de Narnia (6)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|CS Lewis|La última batalla|Saga Las crónicas de Narnia (7)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Eoin Colfer|Artemis Fowl|Saga Artemis Fowl (1)|Ficción especulativa|Libro de Papel|Finalizado|No|
CatCrio|Eoin Colfer|Encuentro en el Ártico |Saga Artemis Fowl (2)|Ficción especulativa|Libro electrónico|Finalizado|No|
CatCrio|Eoin Colfer|El Cubo B|Saga Artemis Fowl (3)|Ficción especulativa|Libro electrónico|Finalizado|No|
CatCrio|Eoin Colfer|La venganza de Opal|Saga Artemis Fowl (4)|Ficción especulativa|Libro electrónico|Finalizado|No|
CatCrio|Eoin Colfer|La cuenta atrás|Saga Artemis Fowl (5)|Ficción especulativa|Libro de Papel|Finalizado|No|
CatCrio|Eoin Colfer|Y su peor enemigo|Saga Artemis Fowl (6)|Ficción especulativa|Libro electrónico|Finalizado|No|
CatCrio|Eoin Colfer|La hora de la verdad|Saga Artemis Fowl (7)|Ficción especulativa|Libro electrónico|Finalizado|No|
CatCrio|Eoin Colfer|El último guardián|Saga Artemis Fowl (8)|Ficción especulativa|Libro electrónico|Finalizado|No|
CatCrio|James Dashner|Correr o morir|Saga Maze Runner (1)|Distopía - Ciencia ficción|Libro de Papel|Finalizado|Si|
CatCrio|James Dashner|La prueba de fuego|Saga Maze Runner (2)|Distopía - Ciencia ficción|Libro de Papel|Finalizado|Si|
CatCrio|James Dashner|La cura mortal|Saga Maze Runner (3)|Distopía - Ciencia ficción|Libro electrónico|Finalizado|No|
CatCrio|James Dashner|El juego infinito|Trilogía Saga Doctrina de la Mortalidad (1)|Ficción adulto joven - Novela -Ciencia ficción|Libro de Papel|Finalizado|No|
CatCrio|James Dashner|Revolución|Trilogía Saga Doctrina de la Mortalidad (2)|Ficción adulto joven - Novela -Ciencia ficción|Libro de Papel|Finalizado|No|
CatCrio|James Dashner|La batalla final|Trilogía Saga Doctrina de la Mortalidad (3)|Ficción adulto joven - Novela -Ciencia ficción|Libro de Papel|Finalizado|No|
CatCrio|James Matthew Barrie|Peter Pan|Autoconclusivo|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|K Rowling|La priedra filosofal|Saga Harry Potter (1)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|JK Rowling|La cámara de los secretos|Saga Harry Potter (2)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|JK Rowling|El prisionero de askaban|Saga Harry Potter (3)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|JK Rowling|El caliz de fuego|Saga Harry Potter (4)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|JK Rowling|La orden del fenix|Saga Harry Potter (5)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|JK Rowling|El principe mestizo|Saga Harry Potter (6)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|JK Rowling|Las reliquias de la muerte|Saga Harry Potter (7)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Kami Garcia - Margaret Stohl|Hermosas criaturas|Saga Dieciséis lunas (1)|Novela - Ficción adulto joven - Novela rosa - Literatura fantástica|Libro de Papel|Finalizado|No|
CatCrio|Kami Garcia - Margaret Stohl|Hermosa oscuridad|Saga Dieciséis lunas (2)|Novela - Ficción adulto joven - Novela rosa - Literatura fantástica|Libro electrónico|Finalizado|No|
CatCrio|Kami Garcia - Margaret Stohl|Hermoso caos|Saga Dieciséis lunas (3)|Novela - Ficción adulto joven - Novela rosa - Literatura fantástica|Libro electrónico|Finalizado|No|
CatCrio|Kami Garcia - Margaret Stohl|Hermoso final|Saga Dieciséis lunas (4)|Novela - Ficción adulto joven - Novela rosa - Literatura fantástica|Libro de Papel|Finalizado|No|
CatCrio|Kiera Cass|La selección|Saga La selección (1)|Distopía - Ciencia ficción|Libro de Papel|Finalizado|No|
CatCrio|Kiersten White|Hija de las tinieblas|Trilogía Hija de las tinieblas (1)|Literatura fantástica - Ucronía|Libro electrónico|Finalizado|No|
CatCrio|Kiersten White|Renace de las sombras|Trilogía Hija de las tinieblas (2)|Literatura fantástica - Ucronía|Libro electrónico|Finalizado|No|
CatCrio|Kiersten White|Bright we burn|Trilogía Hija de las tinieblas (3)|Literatura fantástica - Ucronía|Libro de Papel	Finalizado|No|
CatCrio|Laini Taylor|Hija de humo y hueso|Trilogía Hija de humo y hueso (1)|Literatura fantástica - Novela rosa - Alta fantasía|Libro de Papel|Finalizado |No|
CatCrio|Laini Taylor|Días de Sangre y Resplandor|Trilogía Hija de humo y hueso (2)|Literatura fantástica - Novela rosa - Alta fantasía|Libro electrónico|Finalizado|No|
CatCrio|Laini Taylor|Sueños de Dioses y Monstruos|Trilogía Hija de humo y hueso (3)|Literatura fantástica - Novela rosa - Alta fantasía|Libro electrónico|Finalizado|No|
CatCrio|Lewis Carroll|Alicia a través del espejo|Autonclusivo|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Luc Besson|Arthur la venganza de maltazard|Saga Arthur y los Minimoys (2)|Fantasía|Libro de Papel|Pendiente|No|
CatCrio|Lucy Maud Montgomery|Ana la de Tejas Verdes|Saga Green Gables (1)|Ficción|Libro de Papel|Finalizado|No|
CatCrio|Lucy Maud Montgomery|Ana la de Avonlea|Saga Green Gables (2)|Ficción|Libro de Papel|Finalizado|No|
CatCrio|Lucy Maud Montgomery|Ana la de la Isla|Saga Green Gables (3)|Ficción|Libro de Papel|Finalizado|No|
CatCrio|Lucy Maud Montgomery|Ana la de Álamos Ventosos|Saga Green Gables (4)|Ficción|Libro electrónico|Finalizado|No|
CatCrio|Lucy Maud Montgomery|Ana y la Casa de sus Sueños|Saga Green Gables (5)|Ficción|Libro electrónico|Finalizado|No|
CatCrio|Lucy Maud Montgomery|Ana la de Ingleside|Saga Green Gables (6)|Ficción|Libro electrónico|Finalizado|No|
CatCrio|Lucy Maud Montgomery|El valle del Arco Iris|Saga Green Gables (7)|Ficción|Libro electrónico|Finalizado|No|
CatCrio|Lucy Maud Montgomery|Rilla la de Ingleside|Saga Green Gables (8)|Ficción|Libro electrónico|Pendiente|No|
CatCrio|Luke Pearson|El rey de la montaña|Saga Hilda (6)|Ficción - Sobrentural|Libro de Papel|Finalizado|No|
CatCrio|Maggie Stiefvater|La profecía del cuervo|Saga The raven cycle (1)|Ficción - Literatura fantástica - Fantasía urbana - literatura contemporánea|Libro de Papel|Finalizado|No|
